# CUDA_PROFILE_LOG_VERSION 1.3
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 GeForce 9800 GTX/9800 GTX+
method,gputime,cputime,occupancy
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,40936.1,7.543,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15727.1,6.635,0.167
memcopy,135.104,946.489,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,41339.6,562.851,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15788.5,8.241,0.167
memcopy,134.816,633.321,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,41456.2,11.594,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15795.9,6.775,0.167
memcopy,136.224,654.064,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,40946.1,7.124,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15824.4,7.194,0.167
memcopy,134.752,1719.56,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,41293.6,7.403,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15725.5,7.683,0.167
memcopy,140.8,1969.8,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,41356.9,6.775,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15793.6,6.984,0.167
memcopy,136.576,669.289,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,40902.1,8.8,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15805,6.705,0.167
memcopy,134.944,667.543,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,40918.4,6.844,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15839.6,7.054,0.167
memcopy,134.752,700.089,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,41416.9,8.87,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15741.7,6.984,0.167
memcopy,135.392,631.365,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,40969.2,6.705,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15837.4,7.473,0.167
memcopy,134.944,637.162,
_Z20ClassifyPlanesPointsPK6float4PK6float3iiPi,40937.1,8.171,0.333
